state,action,next_state,reward,done
"[-0.9689281463623047, 0.029999992847442626, -1.0722085571289062, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3225380778312683, -0.9458631277084351, -2.089281463623047, 0.200510174036026, -5.1220863342285154, 0.5535437774658203]","[1.0, 0.04336739704012871]","[-1.000204849243164, 0.029999992847442626, -1.1059378814697265, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3290502429008484, -0.9437144994735718, -2.4020484924316405, 0.200510174036026, -5.459379577636719, 0.5967819213867187]",-3.5,False
"[-1.000204849243164, 0.029999992847442626, -1.1059378814697265, -0.76, 0.009948975443840026, -0.5599999237060547, -0.3290502429008484, -0.9437144994735718, -2.4020484924316405, 0.200510174036026, -5.459379577636719, 0.5967819213867187]","[1.0, -0.10310152918100357]","[-1.0284982299804688, 0.029999992847442626, -1.1413467407226563, -0.76, 0.009948975443840026, -0.5599999237060547, -0.234035462141037, -0.9717241525650024, -2.6849822998046875, 0.200510174036026, -5.813468170166016, 0.6406695556640625]",-3.5,False
"[-1.0284982299804688, 0.029999992847442626, -1.1413467407226563, -0.76, 0.009948975443840026, -0.5599999237060547, -0.234035462141037, -0.9717241525650024, -2.6849822998046875, 0.200510174036026, -5.813468170166016, 0.6406695556640625]","[1.0, -0.07656976580619812]","[-1.0545647430419922, 0.029999992847442626, -1.178430633544922, -0.76, 0.009948975443840026, -0.5599999237060547, -0.16355007886886597, -0.9861010313034058, -2.945647430419922, 0.200510174036026, -6.184307098388672, 0.6852933502197266]",-3.5,False
"[-1.0545647430419922, 0.029999992847442626, -1.178430633544922, -0.76, 0.009948975443840026, -0.5599999237060547, -0.16355007886886597, -0.9861010313034058, -2.945647430419922, 0.200510174036026, -6.184307098388672, 0.6852933502197266]","[1.0, 0.19450491666793823]","[-1.0855097198486328, 0.029999992847442626, -1.2115179443359374, -0.76, 0.009948975443840026, -0.5599999237060547, -0.2937825918197632, -0.9554759860038757, -3.255097198486328, 0.200510174036026, -6.515180206298828, 0.7285838317871094]",-3.5,False
"[-1.0855097198486328, 0.029999992847442626, -1.2115179443359374, -0.76, 0.009948975443840026, -0.5599999237060547, -0.2937825918197632, -0.9554759860038757, -3.255097198486328, 0.200510174036026, -6.515180206298828, 0.7285838317871094]","[1.0, 0.012940093874931335]","[-1.1175680541992188, 0.029999992847442626, -1.2445046234130859, -0.76, 0.009948975443840026, -0.5599999237060547, -0.2862541973590851, -0.9578021168708801, -3.5756805419921873, 0.200510174036026, -6.8450469970703125, 0.7725306701660156]",-3.5,False
"[-1.1175680541992188, 0.029999992847442626, -1.2445046234130859, -0.76, 0.009948975443840026, -0.5599999237060547, -0.2862541973590851, -0.9578021168708801, -3.5756805419921873, 0.200510174036026, -6.8450469970703125, 0.7725306701660156]","[1.0, 0.2737185060977936]","[-1.1549935150146484, 0.029999992847442626, -1.2699770355224609, -0.76, 0.009948975443840026, -0.5599999237060547, -0.46082067489624023, -0.8871502876281738, -3.9499351501464846, 0.200510174036026, -7.099771118164062, 0.8127050018310547]",-3.5,False
"[-1.1549935150146484, 0.029999992847442626, -1.2699770355224609, -0.76, 0.009948975443840026, -0.5599999237060547, -0.46082067489624023, -0.8871502876281738, -3.9499351501464846, 0.200510174036026, -7.099771118164062, 0.8127050018310547]","[1.0, -0.12400871515274048]","[-1.1903702545166015, 0.029999992847442626, -1.2983053588867188, -0.76, 0.009948975443840026, -0.5599999237060547, -0.35369378328323364, -0.9350671768188477, -4.303702545166016, 0.200510174036026, -7.38305435180664, 0.8548190307617187]",-3.5,False
"[-1.1903702545166015, 0.029999992847442626, -1.2983053588867188, -0.76, 0.009948975443840026, -0.5599999237060547, -0.35369378328323364, -0.9350671768188477, -4.303702545166016, 0.200510174036026, -7.38305435180664, 0.8548190307617187]","[0.0, 0.10269835591316223]","[-1.1934082794189453, 0.029999992847442626, -1.30076904296875, -0.76, 0.009948975443840026, -0.5599999237060547, -0.42642730474472046, -0.9042203426361084, -4.334082794189453, 0.200510174036026, -7.407691192626953, 0.8584774780273438]",-2.8658447265625,False
"[-1.1934082794189453, 0.029999992847442626, -1.30076904296875, -0.76, 0.009948975443840026, -0.5599999237060547, -0.42642730474472046, -0.9042203426361084, -4.334082794189453, 0.200510174036026, -7.407691192626953, 0.8584774780273438]","[1.0, 0.23413871228694916]","[-1.2318930053710937, 0.029999992847442626, -1.3178103637695313, -0.76, 0.009948975443840026, -0.5599999237060547, -0.5620121359825134, -0.8268241882324219, -4.718930053710937, 0.200510174036026, -7.578104400634766, 0.8929511260986328]",-3.5,False
"[-1.2318930053710937, 0.029999992847442626, -1.3178103637695313, -0.76, 0.009948975443840026, -0.5599999237060547, -0.5620121359825134, -0.8268241882324219, -4.718930053710937, 0.200510174036026, -7.578104400634766, 0.8929511260986328]","[0.0, 0.07450540363788605]","[-1.2354696655273438, 0.029999992847442626, -1.319394073486328, -0.76, 0.009948975443840026, -0.5599999237060547, -0.6074594259262085, -0.7940355539321899, -4.754696655273437, 0.200510174036026, -7.593941497802734, 0.8961879730224609]",-2.8236846923828125,False
